Rank,Release Group,Worldwide,Domestic,%,Foreign,%
32,Skyscraper,"$304,868,961 ","$68,420,120 ",22.40%,"$236,448,841 ",77.60%
33,Ocean's Eight,"$297,718,711 ","$140,218,711 ",47.10%,"$157,500,000 ",52.90%
34,Pacific Rim: Uprising,"$290,930,148 ","$59,874,525 ",20.60%,"$231,055,623 ",79.40%
35,Maze Runner: The Death Cure,"$288,175,335 ","$58,032,443 ",20.10%,"$230,142,892 ",79.90%
36,Tomb Raider,"$274,650,803 ","$58,250,803 ",21.20%,"$216,400,000 ",78.80%
37,Halloween,"$255,485,178 ","$159,342,015 ",62.40%,"$96,143,163 ",37.60%
38,Crazy Rich Asians,"$238,532,921 ","$174,532,921 ",73.20%,"$64,000,000 ",26.80%
39,Creed II,"$214,115,889 ","$115,715,889 ",54%,"$98,400,000 ",46%
40,Smallfoot,"$214,040,103 ","$83,240,103 ",38.90%,"$130,800,000 ",61.10%
41,The Island,"$198,326,350 ","$670,883 ",0.30%,"$197,655,467 ",99.70%
42,Christopher Robin,"$197,744,377 ","$99,215,042 ",50.20%,"$98,529,335 ",49.80%
43,The Equalizer 2,"$190,400,157 ","$102,084,362 ",53.60%,"$88,315,795 ",46.40%
44,The Mule,"$174,504,407 ","$103,804,407 ",59.50%,"$70,700,000 ",40.50%
45,The Nutcracker and the Four Realms,"$173,961,069 ","$54,858,851 ",31.50%,"$119,102,218 ",68.50%
46,Insidious: The Last Key,"$167,885,588 ","$67,745,330 ",40.40%,"$100,140,258 ",59.60%
47,The Predator,"$160,542,134 ","$51,024,708 ",31.80%,"$109,517,426 ",68.20%
48,Johnny English Strikes Again,"$158,970,776 ","$4,412,170 ",2.80%,"$154,558,606 ",97.20%
49,Red Sparrow,"$151,572,634 ","$46,874,505 ",30.90%,"$104,698,129 ",69.10%
50,More Than Blue,"$142,958,164 ","$722,669 ",0.50%,"$142,235,495 ",99.50%
51,The First Purge,"$137,056,262 ","$69,488,745 ",50.70%,"$67,567,517 ",49.30%
52,A Wrinkle in Time,"$132,675,864 ","$100,478,608 ",75.70%,"$32,197,256 ",24.30%
53,The House with a Clock in Its Walls,"$131,457,147 ","$68,549,695 ",52.10%,"$62,907,452 ",47.90%
54,Instant Family,"$120,556,201 ","$67,363,237 ",55.90%,"$53,192,964 ",44.10%
55,A Cool Fish,"$118,153,135 ","$551,876 ",0.50%,"$117,601,259 ",99.50%
56,Game Night,"$117,679,066 ","$69,179,066 ",58.80%,"$48,500,000 ",41.20%
57,The Monkey King 3,"$115,084,576 ","$187,074 ",0.20%,"$114,897,502 ",99.80%
58,Dragon Ball Super: Broly,"$114,102,821 ","$30,712,119 ",26.90%,"$83,390,702 ",73.10%
59,First Man,"$105,697,415 ","$44,936,545 ",42.50%,"$60,760,870 ",57.50%
60,Book Club,"$104,438,188 ","$68,566,296 ",65.70%,"$35,871,892 ",34.30%
61,Night School,"$103,105,878 ","$77,339,130 ",75%,"$25,766,748 ",25%
62,Alpha,"$98,203,196 ","$35,857,181 ",36.50%,"$62,346,015 ",63.50%
63,Along With the Gods: The Last 49 Days,"$97,962,238 ","$1,200,246 ",1.20%,"$96,761,992 ",98.80%
64,A Simple Favor,"$97,644,617 ","$53,548,586 ",54.80%,"$44,096,031 ",45.20%
65,The Favourite,"$95,918,706 ","$34,366,783 ",35.80%,"$61,551,923 ",64.20%
66,Blumhouse's Truth or Dare,"$95,330,493 ","$41,411,015 ",43.40%,"$53,919,478 ",56.60%
67,I Feel Pretty,"$94,539,426 ","$48,795,601 ",51.60%,"$45,743,825 ",48.40%
68,Blockers,"$94,017,294 ","$60,311,495 ",64.10%,"$33,705,799 ",35.90%
69,BlacKkKlansman,"$93,400,823 ","$49,275,340 ",52.80%,"$44,125,483 ",47.20%
70,Goosebumps 2: Haunted Halloween,"$93,320,380 ","$46,700,633 ",50%,"$46,619,747 ",50%
71,Shadow,"$91,708,374 ","$521,396 ",0.60%,"$91,186,978 ",99.40%
72,Overboard,"$91,244,913 ","$50,316,123 ",55.10%,"$40,928,790 ",44.90%
73,Sherlock Gnomes,"$90,345,871 ","$43,242,871 ",47.90%,"$47,103,000 ",52.10%
74,Detective Dee: The Four Heavenly Kings,"$90,040,771 ","$262,963 ",0.30%,"$89,777,808 ",99.70%
75,I Can Only Imagine,"$86,022,265 ","$83,482,352 ",97%,"$2,539,913 ",3%
76,Robin Hood,"$85,882,380 ","$30,824,628 ",35.90%,"$55,057,752 ",64.10%
77,Mortal Engines,"$83,672,673 ","$15,951,040 ",19.10%,"$67,721,633 ",80.90%
78,How Long Will I Love U,"$82,881,319 ","$746,933 ",0.90%,"$82,134,386 ",99.10%
79,Den of Thieves,"$80,509,622 ","$44,947,622 ",55.80%,"$35,562,000 ",44.20%
80,Hereditary,"$79,336,821 ","$44,069,456 ",55.50%,"$35,267,365 ",44.50%
81,Tag,"$78,130,625 ","$54,730,625 ",70.10%,"$23,400,000 ",29.90%
82,Vice,"$76,073,488 ","$47,836,282 ",62.90%,"$28,237,206 ",37.10%
83,Widows,"$75,984,700 ","$42,402,632 ",55.80%,"$33,582,068 ",44.20%
84,Sicario: Day of the Soldado,"$75,836,683 ","$50,072,235 ",66%,"$25,764,448 ",34%
85,Searching,"$75,462,037 ","$26,020,957 ",34.50%,"$49,441,080 ",65.50%
86,The Spy Who Dumped Me,"$75,320,680 ","$33,562,069 ",44.60%,"$41,758,611 ",55.40%
87,Second Act,"$72,282,227 ","$39,282,227 ",54.30%,"$33,000,000 ",45.70%
88,Sanju,"$71,535,130 ","$7,909,317 ",11.10%,"$63,625,813 ",88.90%
89,Spirited Away 2018 Re-release,"$70,186,029 ","$1,175,067 ",1.70%,"$69,010,962 ",98.30%
90,Shoplifters,"$67,998,954 ","$3,313,513 ",4.90%,"$64,685,441 ",95.10%
91,12 Strong,"$67,450,815 ","$45,819,713 ",67.90%,"$21,631,102 ",32.10%
92,"Love, Simon","$66,316,289 ","$40,826,341 ",61.60%,"$25,489,948 ",38.40%
93,Mile 22,"$66,308,758 ","$36,108,758 ",54.50%,"$30,200,000 ",45.50%
94,Life of the Party,"$65,859,911 ","$53,059,911 ",80.60%,"$12,800,000 ",19.40%
95,Capernaum,"$64,398,132 ","$1,661,096 ",2.60%,"$62,737,036 ",97.40%
96,Isle of Dogs,"$64,241,499 ","$32,015,231 ",49.80%,"$32,226,268 ",50.20%
97,Adrift,"$59,945,012 ","$31,445,012 ",52.50%,"$28,500,000 ",47.50%
98,The 15:17 to Paris,"$57,076,286 ","$36,276,286 ",63.60%,"$20,800,000 ",36.40%
99,Early Man,"$54,622,814 ","$8,267,544 ",15.10%,"$46,355,270 ",84.90%
100,Peppermint,"$53,918,723 ","$35,418,723 ",65.70%,"$18,500,000 ",34.30%
101,Teen Titans GO! to the Movies,"$52,090,236 ","$29,790,236 ",57.20%,"$22,300,000 ",42.80%
102,Slender Man,"$51,738,549 ","$30,569,484 ",59.10%,"$21,169,065 ",40.90%
103,Breaking In,"$51,411,620 ","$46,840,590 ",91.10%,"$4,571,030 ",8.90%
104,Once Upon a Deadpool 2018 Re-release,"$50,500,309 ","$6,100,309 ",12.10%,"$44,400,000 ",87.90%
105,Death Wish,"$49,562,710 ","$34,017,028 ",68.60%,"$15,545,682 ",31.40%
106,Andhadhun,"$49,391,206 ","$1,193,046 ",2.40%,"$48,198,160 ",97.60%
107,Golden Job,"$47,279,677 ","$285,795 ",0.60%,"$46,993,882 ",99.40%
108,Mary Queen of Scots,"$46,672,564 ","$16,468,499 ",35.30%,"$30,204,065 ",64.70%
109,Uncle Drew,"$46,664,414 ","$42,469,946 ",91%,"$4,194,468 ",9%
110,Tyler Perry's Acrimony,"$46,403,669 ","$43,549,096 ",93.80%,"$2,854,573 ",6.20%
111,Asterix: The Secret of the Magic Potion,"$46,153,570 ","$1,271,953 ",2.80%,"$44,881,617 ",97.20%
112,Winchester,"$44,019,588 ","$25,091,816 ",57%,"$18,927,772 ",43%
113,Annihilation,"$43,070,915 ","$32,732,301 ",76%,"$10,338,614 ",24%
114,The Possession of Hannah Grace,"$43,016,528 ","$14,837,422 ",34.50%,"$28,179,106 ",65.50%
115,Long Day's Journey Into Night,"$42,118,413 ","$521,365 ",1.20%,"$41,597,048 ",98.80%
116,Overlord,"$41,657,844 ","$21,704,844 ",52.10%,"$19,953,000 ",47.90%
117,The Great Battle,"$41,509,280 ","$472,166 ",1.10%,"$41,037,114 ",98.90%
118,The Darkest Minds,"$41,142,379 ","$12,695,691 ",30.90%,"$28,446,688 ",69.10%
119,Holmes & Watson,"$40,466,970 ","$30,573,626 ",75.60%,"$9,893,344 ",24.40%
120,Show Dogs,"$39,156,854 ","$17,857,020 ",45.60%,"$21,299,834 ",54.40%
121,Believer,"$39,047,153 ","$365,639 ",0.90%,"$38,681,514 ",99.10%
122,The Spy Gone North,"$38,844,509 ","$500,803 ",1.30%,"$38,343,706 ",98.70%
123,On the Basis of Sex,"$38,673,750 ","$24,622,687 ",63.70%,"$14,051,063 ",36.30%
124,Till The End Of The World,"$37,013,733 ","$118,660 ",0.30%,"$36,895,073 ",99.70%
125,Nothing to Lose,"$36,075,317 ","$1,016,188 ",2.80%,"$35,059,129 ",97.20%
126,Mia and the White Lion,"$35,487,190 ","$399,471 ",1.10%,"$35,087,719 ",98.90%
127,The Girl in the Spider's Web,"$35,164,920 ","$14,841,338 ",42.20%,"$20,323,582 ",57.80%
128,The Hate U Give,"$34,934,009 ","$29,719,483 ",85.10%,"$5,214,526 ",14.90%
129,Nobody's Fool,"$33,532,593 ","$31,713,110 ",94.60%,"$1,819,483 ",5.40%
130,The Hurricane Heist,"$32,517,248 ","$6,115,825 ",18.80%,"$26,401,423 ",81.20%
131,Bad Times at the El Royale,"$31,882,724 ","$17,839,115 ",56%,"$14,043,609 ",44%
132,Hunter Killer,"$31,672,678 ","$15,767,460 ",49.80%,"$15,905,218 ",50.20%
133,Super Troopers 2,"$31,626,386 ","$30,617,396 ",96.80%,"$1,008,990 ",3.20%
134,Baaghi 2,"$31,210,089 ","$1,319,579 ",4.20%,"$29,890,510 ",95.80%
135,The Strangers: Prey at Night,"$31,039,126 ","$24,586,708 ",79.20%,"$6,452,418 ",20.80%
136,Free Solo,"$29,318,861 ","$17,541,090 ",59.80%,"$11,777,771 ",40.20%
137,Default,"$27,709,716 ","$203,775 ",0.70%,"$27,505,941 ",99.30%
138,One Cut of the Dead,"$27,590,180 ","$52,406 ",0.20%,"$27,537,774 ",99.80%
139,Mirai,"$27,526,961 ","$812,794 ",3%,"$26,714,167 ",97%
140,The Happytime Murders,"$27,506,452 ","$20,706,452 ",75.30%,"$6,800,000 ",24.70%
141,Midnight Sun,"$27,365,467 ","$9,561,064 ",34.90%,"$17,804,403 ",65.10%
142,Pad Man,"$27,258,765 ","$1,670,192 ",6.10%,"$25,588,573 ",93.90%
143,My Neighbor Totoro 2018 Re-release,"$27,083,857 ","$1,144,649 ",4.20%,"$25,939,208 ",95.80%
144,White Boy Rick,"$25,957,482 ","$24,011,188 ",92.50%,"$1,946,294 ",7.50%
145,Keys To The Heart,"$25,375,866 ","$75,134 ",0.30%,"$25,300,732 ",99.70%
146,Stan & Ollie,"$24,420,923 ","$5,470,235 ",22.40%,"$18,950,688 ",77.60%
147,The Accidental Detective 2: In Action,"$24,243,825 ","$179,045 ",0.70%,"$24,064,780 ",99.30%
148,Pokémon the Movie: The Power of Us,"$23,740,788 ","$789,170 ",3.30%,"$22,951,618 ",96.70%
149,"Paul, Apostle of Christ","$23,039,243 ","$17,560,475 ",76.20%,"$5,478,768 ",23.80%
150,Padmaavat,"$22,991,060 ","$11,846,060 ",51.50%,"$11,145,000 ",48.50%
151,Won't You Be My Neighbor?,"$22,842,400 ","$22,835,787 ",100%,"$6,613 ",<0.1%
152,Mojin: The Worm Valley,"$22,381,583 ","$101,516 ",0.50%,"$22,280,067 ",99.50%
153,Big Brother,"$22,090,304 ","$85,624 ",0.40%,"$22,004,680 ",99.60%
154,Master Z: The Ip Man Legacy,"$21,832,649 ","$209,454 ",1%,"$21,623,195 ",99%
155,Proud Mary,"$21,753,365 ","$20,877,013 ",96%,"$876,352 ",4%
156,The Prodigy,"$21,150,265 ","$14,856,291 ",70.20%,"$6,293,974 ",29.80%
157,Gonjiam: Haunted Asylum,"$21,041,950 ","$115,252 ",0.50%,"$20,926,698 ",99.50%
158,My Hero Academia: Two Heroes,"$21,022,724 ","$5,754,556 ",27.40%,"$15,268,168 ",72.60%
159,SuperFly,"$20,780,685 ","$20,545,116 ",98.90%,"$235,569 ",1.10%
160,If Beale Street Could Talk,"$20,572,691 ","$14,915,773 ",72.50%,"$5,656,918 ",27.50%
161,Burn the Stage: The Movie,"$20,347,513 ","$4,201,819 ",20.70%,"$16,145,694 ",79.30%
162,Cold War 2018 Re-release,"$20,272,780 ","$4,580,048 ",22.60%,"$15,692,732 ",77.40%
163,They Shall Not Grow Old 2018 Re-release,"$19,130,011 ","$17,956,913 ",93.90%,"$1,173,098 ",6.10%
164,Oolong Courtyard: KungFu School,"$19,129,015 ","$37,727 ",0.20%,"$19,091,288 ",99.80%
165,Detective K: Secret of the Living Dead,"$18,603,476 ","$104,013 ",0.60%,"$18,499,463 ",99.40%
166,Airpocalypse,"$18,491,089 ","$105,678 ",0.60%,"$18,385,411 ",99.40%
167,The Wife,"$18,205,312 ","$9,601,092 ",52.70%,"$8,604,220 ",47.30%
168,Sorry to Bother You,"$18,170,707 ","$17,493,096 ",96.30%,"$677,611 ",3.70%
169,Hell Fest,"$18,159,691 ","$11,107,431 ",61.20%,"$7,052,260 ",38.80%
170,Everybody Knows,"$17,997,350 ","$2,660,165 ",14.80%,"$15,337,185 ",85.20%
171,Chappaquiddick,"$17,986,671 ","$17,395,520 ",96.70%,"$591,151 ",3.30%
172,Beautiful Boy,"$17,877,506 ","$8,986,631 ",50.30%,"$8,890,875 ",49.70%
173,The Old Man & the Gun,"$17,860,397 ","$11,277,120 ",63.10%,"$6,583,277 ",36.90%
174,The Children Act,"$17,696,794 ","$547,750 ",3.10%,"$17,149,044 ",96.90%
175,Operation Finale,"$17,612,099 ","$17,612,099 ",100%,-,-
176,Loving Pablo,"$17,535,962 ","$22,017 ",0.10%,"$17,513,945 ",99.90%
177,Forever My Girl,"$16,376,066 ","$16,376,066 ",100%,-,-
178,Unfriended: Dark Web,"$16,024,987 ","$8,866,745 ",55.30%,"$7,158,242 ",44.70%
179,Finding Your Feet,"$15,845,593 ","$1,418,682 ",9%,"$14,426,911 ",91%
180,Feng Shui,"$15,702,302 ","$64,147 ",0.40%,"$15,638,155 ",99.60%
181,Tully,"$15,636,462 ","$9,369,755 ",59.90%,"$6,266,707 ",40.10%
182,The Negotiation,"$15,229,193 ","$110,986 ",0.70%,"$15,118,207 ",99.30%
183,RBG,"$14,441,292 ","$14,017,361 ",97.10%,"$423,931 ",2.90%
184,Upgrade,"$14,377,130 ","$11,977,130 ",83.30%,"$2,400,000 ",16.70%
185,Eighth Grade,"$14,347,433 ","$13,539,709 ",94.40%,"$807,724 ",5.60%
186,Thugs of Hindostan,"$14,341,431 ","$1,449,848 ",10.10%,"$12,891,583 ",89.90%
187,Unsane,"$14,293,601 ","$7,732,899 ",54.10%,"$6,560,702 ",45.90%
188,Colette,"$14,273,033 ","$5,137,622 ",36%,"$9,135,411 ",64%
189,Ya veremos,"$14,134,723 ","$4,165,949 ",29.50%,"$9,968,774 ",70.50%
190,The Quake,"$13,747,547 ","$6,235 ",<0.1%,"$13,741,312 ",100%
191,Three Identical Strangers,"$13,448,497 ","$12,320,845 ",91.60%,"$1,127,652 ",8.40%
192,Hotel Artemis,"$13,313,581 ","$6,708,147 ",50.40%,"$6,605,434 ",49.60%
193,The Sisters Brothers,"$13,143,056 ","$3,143,056 ",23.90%,"$10,000,000 ",76.10%
194,Welcome to Marwen,"$13,061,491 ","$10,763,520 ",82.40%,"$2,297,971 ",17.60%
195,Take Point,"$12,908,032 ","$112,386 ",0.90%,"$12,795,646 ",99.10%
196,Luis and the Aliens,"$12,627,729 ","$169,710 ",1.30%,"$12,458,019 ",98.70%
197,Can You Ever Forgive Me?,"$12,442,161 ","$8,803,865 ",70.80%,"$3,638,296 ",29.20%
198,Rampant,"$12,359,573 ","$167,937 ",1.40%,"$12,191,636 ",98.60%
199,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849 ",$220 ,<0.1%,"$12,353,629 ",100%
200,102 Not Out,"$12,214,889 ","$1,343,797 ",11%,"$10,871,092 ",89%
