Rank,Release Group,Worldwide,Domestic,%,Foreign,%
43,London Has Fallen,"$205,754,447 ","$62,524,260 ",30.40%,"$143,230,187 ",69.60%
44,Arrival,"$203,388,186 ","$100,546,139 ",49.40%,"$102,842,047 ",50.60%
45,The Monkey King 2,"$193,677,158 ","$709,982 ",0.40%,"$192,967,176 ",99.60%
46,Bad Moms,"$183,936,074 ","$113,257,297 ",61.60%,"$70,678,777 ",38.40%
47,Storks,"$183,388,953 ","$72,679,278 ",39.60%,"$110,709,675 ",60.40%
48,The BFG,"$183,288,689 ","$55,483,770 ",30.30%,"$127,804,919 ",69.70%
49,Allegiant,"$179,246,868 ","$66,184,051 ",36.90%,"$113,062,817 ",63.10%
50,Hacksaw Ridge,"$175,302,354 ","$67,209,615 ",38.30%,"$108,092,739 ",61.70%
51,The Girl on the Train,"$173,185,859 ","$75,395,035 ",43.50%,"$97,790,824 ",56.50%
52,Operation Mekong,"$173,128,787 ","$800,012 ",0.50%,"$172,328,775 ",99.50%
53,The Huntsman: Winter's War,"$164,989,338 ","$48,390,190 ",29.30%,"$116,599,148 ",70.70%
54,The Magnificent Seven,"$162,360,636 ","$93,432,655 ",57.50%,"$68,927,981 ",42.50%
55,Jack Reacher: Never Go Back,"$162,146,076 ","$58,697,076 ",36.20%,"$103,449,000 ",63.80%
56,Don't Breathe,"$157,100,845 ","$89,217,875 ",56.80%,"$67,882,970 ",43.20%
57,The Accountant,"$155,160,045 ","$86,260,045 ",55.60%,"$68,900,000 ",44.40%
58,Lights Out,"$148,868,835 ","$67,268,835 ",45.20%,"$81,600,000 ",54.80%
59,Pete's Dragon,"$143,695,338 ","$76,233,151 ",53.10%,"$67,462,187 ",46.90%
60,Sausage Party,"$140,705,322 ","$97,685,686 ",69.40%,"$43,019,636 ",30.60%
61,Lion,"$140,312,928 ","$51,738,905 ",36.90%,"$88,574,023 ",63.10%
62,Mechanic: Resurrection,"$125,729,635 ","$21,218,403 ",16.90%,"$104,511,232 ",83.10%
63,Deepwater Horizon,"$121,790,373 ","$61,433,527 ",50.40%,"$60,356,846 ",49.60%
64,Allied,"$119,520,023 ","$40,098,064 ",33.50%,"$79,421,959 ",66.50%
65,I Belonged to You,"$119,107,580 ","$744,541 ",0.60%,"$118,363,039 ",99.40%
66,The Shallows,"$119,100,758 ","$55,124,043 ",46.30%,"$63,976,715 ",53.70%
67,The Purge: Election Year,"$118,587,880 ","$79,213,375 ",66.80%,"$39,374,505 ",33.20%
68,Why Him?,"$118,102,725 ","$60,323,786 ",51.10%,"$57,778,939 ",48.90%
69,Finding Mr Right 2,"$114,679,097 ",-,-,"$114,679,097 ",100%
70,Office Christmas Party,"$114,501,299 ","$54,767,494 ",47.80%,"$59,733,805 ",52.20%
71,How to Be Single,"$112,343,513 ","$46,843,513 ",41.70%,"$65,500,000 ",58.30%
72,10 Cloverfield Lane,"$110,216,998 ","$72,082,998 ",65.40%,"$38,134,000 ",34.60%
73,Neighbors 2: Sorority Rising,"$108,007,109 ","$55,455,765 ",51.30%,"$52,551,344 ",48.70%
74,Cold War II,"$103,197,501 ","$560,824 ",0.50%,"$102,636,677 ",99.50%
75,Railroad Tigers,"$102,205,175 ","$218,044 ",0.20%,"$101,987,131 ",99.80%
76,Some Like It Hot,"$95,721,320 ","$100,026 ",0.10%,"$95,621,294 ",99.90%
77,Dirty Grandpa,"$94,073,028 ","$35,593,113 ",37.80%,"$58,479,915 ",62.20%
78,Ben-Hur,"$94,061,311 ","$26,410,477 ",28.10%,"$67,650,834 ",71.90%
79,Money Monster,"$93,282,604 ","$41,012,075 ",44%,"$52,270,529 ",56%
80,My Big Fat Greek Wedding 2,"$88,923,251 ","$59,689,605 ",67.10%,"$29,233,646 ",32.90%
81,Collateral Beauty,"$88,528,280 ","$31,016,021 ",35%,"$57,512,259 ",65%
82,Train to Busan,"$87,547,518 ","$2,129,768 ",2.40%,"$85,417,750 ",97.60%
83,Sultan,"$87,280,000 ","$6,200,000 ",7.10%,"$81,080,000 ",92.90%
84,War Dogs,"$86,234,523 ","$43,034,523 ",49.90%,"$43,200,000 ",50.10%
85,Nerve,"$85,251,425 ","$38,583,626 ",45.30%,"$46,667,799 ",54.70%
86,Leap!,"$84,197,417 ","$2,844,490 ",3.40%,"$81,352,927 ",96.60%
87,Ouija: Origin Of Evil,"$81,705,746 ","$35,144,505 ",43%,"$46,561,241 ",57%
88,Underworld: Blood Wars,"$81,093,313 ","$30,353,973 ",37.40%,"$50,739,340 ",62.60%
89,Manchester by the Sea,"$78,988,148 ","$47,695,371 ",60.40%,"$31,292,777 ",39.60%
90,The Boss,"$78,844,582 ","$63,285,885 ",80.30%,"$15,558,697 ",19.70%
91,Shin Godzilla,"$77,947,607 ","$1,918,403 ",2.50%,"$76,029,204 ",97.50%
92,Mike and Dave Need Wedding Dates,"$77,068,246 ","$46,009,673 ",59.70%,"$31,058,573 ",40.30%
93,Tyler Perry's Boo! A Madea Halloween,"$74,827,344 ","$73,206,343 ",97.80%,"$1,621,001 ",2.20%
94,Miracles from Heaven,"$73,883,359 ","$61,705,123 ",83.50%,"$12,178,236 ",16.50%
95,I Am Not Madame Bovary,"$70,826,207 ","$436,798 ",0.60%,"$70,389,409 ",99.40%
96,Kubo and the Two Strings,"$69,929,545 ","$48,023,088 ",68.70%,"$21,906,457 ",31.30%
97,One Piece Film: Gold,"$66,207,073 ","$423,593 ",0.60%,"$65,783,480 ",99.40%
98,Moonlight,"$65,046,687 ","$27,854,932 ",42.80%,"$37,191,755 ",57.20%
99,Monster Trucks,"$64,493,915 ","$33,370,166 ",51.70%,"$31,123,749 ",48.30%
100,Fences,"$64,414,761 ","$57,682,904 ",89.50%,"$6,731,857 ",10.50%
101,"Hail, Caesar!","$63,647,656 ","$30,498,085 ",47.90%,"$33,149,571 ",52.10%
102,The Nice Guys,"$62,788,218 ","$36,261,763 ",57.80%,"$26,526,455 ",42.20%
103,Huo guo ying xiong,"$58,106,427 ","$779,818 ",1.30%,"$57,326,609 ",98.70%
104,L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494 ","$350,456 ",0.60%,"$57,739,038 ",99.40%
105,Nine Lives,"$57,814,445 ","$19,700,032 ",34.10%,"$38,114,413 ",65.90%
106,Zoolander 2,"$56,722,693 ","$28,848,693 ",50.90%,"$27,874,000 ",49.10%
107,Barbershop: The Next Cut,"$55,030,051 ","$54,030,051 ",98.20%,"$1,000,000 ",1.80%
108,The Age of Shadows,"$54,491,162 ","$541,719 ",1%,"$53,949,443 ",99%
109,Tunnel,"$52,444,295 ","$568,876 ",1.10%,"$51,875,419 ",98.90%
110,The Finest Hours,"$52,099,090 ","$27,569,558 ",52.90%,"$24,529,532 ",47.10%
111,Master,"$51,624,799 ","$597,251 ",1.20%,"$51,027,548 ",98.80%
112,Patriots Day,"$50,549,909 ","$31,886,361 ",63.10%,"$18,663,548 ",36.90%
113,The Wailing,"$49,851,770 ","$786,633 ",1.60%,"$49,065,137 ",98.40%
114,So Young 2: Never Gone,"$48,980,792 ","$96,421 ",0.20%,"$48,884,371 ",99.80%
115,Florence Foster Jenkins,"$48,902,953 ","$27,383,770 ",56%,"$21,519,183 ",44%
116,Mother's Day,"$48,782,670 ","$32,492,859 ",66.60%,"$16,289,811 ",33.40%
117,Luck-Key,"$48,165,531 ","$466,505 ",1%,"$47,699,026 ",99%
118,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,899,805 ","$257,343 ",0.50%,"$47,642,462 ",99.50%
119,A Monster Calls,"$47,309,313 ","$3,740,823 ",7.90%,"$43,568,490 ",92.10%
120,Eddie the Eagle,"$46,152,800 ","$15,789,389 ",34.20%,"$30,363,411 ",65.80%
121,Risen,"$46,069,568 ","$36,880,033 ",80.10%,"$9,189,535 ",19.90%
122,Blair Witch,"$45,173,154 ","$20,777,061 ",46%,"$24,396,093 ",54%
123,Café Society,"$43,763,247 ","$11,103,205 ",25.40%,"$32,660,042 ",74.60%
124,League of Gods,"$43,498,766 ","$181,633 ",0.40%,"$43,317,133 ",99.60%
125,Almost Christmas,"$42,580,920 ","$42,158,780 ",99%,"$422,140 ",1%
126,The Witch,"$40,423,945 ","$25,138,705 ",62.20%,"$15,285,240 ",37.80%
127,The Wild Life,"$39,543,581 ","$8,005,586 ",20.20%,"$31,537,995 ",79.80%
128,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039 ",-,-,"$38,659,039 ",100%
129,Absolutely Fabulous: The Movie,"$37,915,971 ","$4,772,155 ",12.60%,"$33,143,816 ",87.40%
130,Hell or High Water,"$37,879,877 ","$27,007,844 ",71.30%,"$10,872,033 ",28.70%
131,The Handmaiden,"$37,692,886 ","$2,006,788 ",5.30%,"$35,686,098 ",94.70%
132,The Forest,"$37,608,299 ","$26,594,261 ",70.70%,"$11,014,038 ",29.30%
133,Snowden,"$37,279,439 ","$21,587,519 ",57.90%,"$15,691,920 ",42.10%
134,Eye in the Sky,"$35,259,653 ","$18,704,595 ",53%,"$16,555,058 ",47%
135,Billy Lynn's Long Halftime Walk,"$30,930,984 ","$1,738,477 ",5.60%,"$29,192,507 ",94.40%
136,Norm of the North,"$30,734,502 ","$17,062,499 ",55.50%,"$13,672,003 ",44.50%
137,When the Bough Breaks,"$30,658,387 ","$29,747,603 ",97%,"$910,784 ",3%
138,Nocturnal Animals,"$30,311,857 ","$10,663,357 ",35.20%,"$19,648,500 ",64.80%
139,A Silent Voice: The Movie,"$30,156,463 ","$310,407 ",1%,"$29,846,056 ",99%
140,Keeping Up with the Joneses,"$29,918,745 ","$14,904,426 ",49.80%,"$15,014,319 ",50.20%
141,Masterminds,"$29,674,699 ","$17,368,022 ",58.50%,"$12,306,677 ",41.50%
142,Ae Dil Hai Mushkil,"$28,360,590 ","$4,264,983 ",15%,"$24,095,607 ",85%
143,Fan,"$28,240,000 ","$2,300,000 ",8.10%,"$25,940,000 ",91.90%
144,M.S. Dhoni: The Untold Story,"$27,755,817 ","$1,801,550 ",6.50%,"$25,954,267 ",93.50%
145,The Light Between Oceans,"$25,975,621 ","$12,545,979 ",48.30%,"$13,429,642 ",51.70%
146,Mr. Donkey,"$25,537,759 ","$356,255 ",1.40%,"$25,181,504 ",98.60%
147,A Beautiful Planet,"$25,488,406 ","$15,593,935 ",61.20%,"$9,894,471 ",38.80%
148,The Brothers Grimsby,"$25,182,929 ","$6,874,837 ",27.30%,"$18,308,092 ",72.70%
149,Born in China,"$25,081,168 ","$13,873,211 ",55.30%,"$11,207,957 ",44.70%
150,Race,"$25,070,261 ","$19,206,207 ",76.60%,"$5,864,054 ",23.40%
151,Free State of Jones,"$25,035,950 ","$20,810,036 ",83.10%,"$4,225,914 ",16.90%
152,Whiskey Tango Foxtrot,"$24,972,139 ","$23,083,334 ",92.40%,"$1,888,805 ",7.60%
153,The Snow Queen 3: Fire and Ice,"$24,643,054 ",-,-,"$24,643,054 ",100%
154,God's Not Dead 2,"$24,487,848 ","$20,774,575 ",84.80%,"$3,713,273 ",15.20%
155,Jackie,"$24,270,399 ","$13,960,394 ",57.50%,"$10,310,005 ",42.50%
156,The Founder,"$24,121,245 ","$12,786,053 ",53%,"$11,335,192 ",47%
157,Bad Santa 2,"$24,079,268 ","$17,782,178 ",73.80%,"$6,297,090 ",26.20%
158,Spirits' Homecoming,"$23,857,217 ","$125,616 ",0.50%,"$23,731,601 ",99.50%
159,Silence,"$23,737,523 ","$7,100,177 ",29.90%,"$16,637,346 ",70.10%
160,Kevin Hart: What Now?,"$23,591,043 ","$23,591,043 ",100%,-,-
161,No manches Frida,"$23,540,937 ","$11,528,613 ",49%,"$12,012,324 ",51%
162,Middle School: The Worst Years of My Life,"$23,316,139 ","$20,007,149 ",85.80%,"$3,308,990 ",14.20%
163,Rock Dog,"$23,157,646 ","$9,420,546 ",40.70%,"$13,737,100 ",59.30%
164,Triple 9,"$23,119,442 ","$12,639,297 ",54.70%,"$10,480,145 ",45.30%
165,The Choice,"$23,064,015 ","$18,730,891 ",81.20%,"$4,333,124 ",18.80%
166,Hunt for the Wilderpeople,"$22,867,989 ","$5,205,468 ",22.80%,"$17,662,521 ",77.20%
167,Sweet Sixteen,"$22,819,702 ","$34,327 ",0.20%,"$22,785,375 ",99.80%
168,Captain Fantastic,"$22,787,101 ","$5,879,835 ",25.80%,"$16,907,266 ",74.20%
169,Live by Night,"$22,678,555 ","$10,378,555 ",45.80%,"$12,300,000 ",54.20%
170,Julieta,"$22,468,044 ","$1,490,948 ",6.60%,"$20,977,096 ",93.40%
171,Love & Friendship,"$21,401,949 ","$14,016,568 ",65.50%,"$7,385,381 ",34.50%
172,The Infiltrator,"$21,011,110 ","$15,436,808 ",73.50%,"$5,574,302 ",26.50%
173,Keanu,"$20,651,333 ","$20,591,853 ",99.70%,"$59,480 ",0.30%
174,Cock and Bull,"$20,490,872 ","$82,778 ",0.40%,"$20,408,094 ",99.60%
175,In This Corner of the World,"$19,496,308 ","$172,147 ",0.90%,"$19,324,161 ",99.10%
176,My Annoying Brother,"$19,162,324 ","$51,996 ",0.30%,"$19,110,328 ",99.70%
177,The Edge of Seventeen,"$18,803,648 ","$14,431,633 ",76.70%,"$4,372,015 ",23.30%
178,The Wasted Times,"$18,345,372 ","$386,540 ",2.10%,"$17,958,832 ",97.90%
179,Asura,"$18,300,843 ","$175,702 ",1%,"$18,125,141 ",99%
180,Hardcore Henry,"$16,810,562 ","$9,252,038 ",55%,"$7,558,524 ",45%
181,The Birth of a Nation,"$16,779,212 ","$15,861,566 ",94.50%,"$917,646 ",5.50%
182,Pride and Prejudice and Zombies,"$16,405,171 ","$10,938,134 ",66.70%,"$5,467,037 ",33.30%
183,"I, Daniel Blake","$15,793,051 ","$260,354 ",1.60%,"$15,532,697 ",98.40%
184,Kapoor & Sons,"$15,396,447 ","$2,607,036 ",16.90%,"$12,789,411 ",83.10%
185,Irreplaceable,"$15,130,912 ","$8,494 ",<0.1%,"$15,122,418 ",99.90%
186,Three,"$15,121,228 ","$119,550 ",0.80%,"$15,001,678 ",99.20%
187,The Take,"$14,857,808 ","$50,269 ",0.30%,"$14,807,539 ",99.70%
188,Seondal: The Man Who Sells the River,"$14,777,982 ","$97,477 ",0.70%,"$14,680,505 ",99.30%
189,Sword Master,"$14,714,624 ","$75,526 ",0.50%,"$14,639,098 ",99.50%
190,"Hello, My Name Is Doris","$14,659,448 ","$14,444,999 ",98.50%,"$214,449 ",1.50%
191,The Other Side of the Door,"$14,332,467 ","$3,000,342 ",20.90%,"$11,332,125 ",79.10%
192,A United Kingdom,"$13,819,139 ","$3,902,185 ",28.20%,"$9,916,954 ",71.80%
193,Sing Street,"$13,624,522 ","$3,237,118 ",23.80%,"$10,387,404 ",76.20%
194,Phantom of the Theatre,"$13,526,843 ","$43,955 ",0.30%,"$13,482,888 ",99.70%
195,Ratchet and Clank,"$13,385,737 ","$8,821,329 ",65.90%,"$4,564,408 ",34.10%
196,Hillary's America: The Secret History of the Democratic Party,"$13,099,931 ","$13,099,931 ",100%,-,-
197,Shut In,"$13,082,071 ","$6,900,335 ",52.70%,"$6,181,736 ",47.30%
198,Loving,"$12,957,265 ","$7,751,969 ",59.80%,"$5,205,296 ",40.20%
199,Elle,"$12,748,594 ","$2,341,534 ",18.40%,"$10,407,060 ",81.60%
200,The Beatles: Eight Days a Week - The Touring Years,"$12,283,800 ","$2,930,414 ",23.90%,"$9,353,386 ",76.10%
