,Unnamed: 0,Unnamed: 0.1,Title,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,index,level_0,totalSeasons,Worldwide,Domestic,% Domestic,Foreign,% Foreign
0,,,The Zookeeper's Wife,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford",2 wins & 3 nominations.,"$17,407,536 ","Czech Republic, UK, USA",4-Jul-17,Niki Caro,"Biography, Drama, History, War","English, German, Hebrew",57,"The Zookeeper's Wife tells the account of keepers of the Warsaw Zoo, Antonina and Jan Zabinski, who helped save hundreds of people and animals during the German invasion.",https://m.media-amazon.com/images/M/MV5BNTY3YmZmYmMtZjc3Zi00N2VjLWE5ZGMtN2M0ODkzOGQ5M2UyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTk1MTQ3NDI@._V1_SX300.jpg,Focus Features,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",7-Apr-17,TRUE,127 min,movie,N/A,"Angela Workman (screenplay), Diane Ackerman (based on the book by)",2017,tt1730768,7,"33,560",,,,,,,,
0,,,Love & Mercy,"Paul Dano, John Cusack, Elizabeth Banks, Paul Giamatti",Nominated for 2 Golden Globes. Another 20 wins & 55 nominations.,"$8,790,100 ",USA,15-Sep-15,Bill Pohlad,"Biography, Drama, Music",English,80,"In the 1960s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 1980s, he is a broken, confused man under the 24-hour watch of shady therapist Dr. Eugene Landy.",https://m.media-amazon.com/images/M/MV5BMTk1MTkwMzU4Nl5BMl5BanBnXkFtZTgwNjY0MDE1NTE@._V1_SX300.jpg,Roadside Attractions,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",19-Jun-15,TRUE,121 min,movie,N/A,"Oren Moverman, Michael A. Lerner, Brian Wilson (based on the life of)",2014,tt0903657,7.4,"32,889",,,,,,,,
0,,,Baaghi 2,"Tiger Shroff, Disha Patani, Manoj Bajpayee, Randeep Hooda",N/A,N/A,India,N/A,Ahmed Khan,"Action, Thriller",Hindi,N/A,"A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India.",https://m.media-amazon.com/images/M/MV5BZWMwNzkzNDEtYTI0Ni00NDNiLWIxNDgtYTc0MDcxMzAzYTE2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Benetone Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}]",30-Mar-18,TRUE,137 min,movie,N/A,"Abbas Dalal (dialogue writer), Hussain Dalal (dialogue), Abbas Hirapurwala (screenplay), Jojo Khan (screenplay), Niraj Kumar Mishra (screenplay), Sajid Nadiadwala (story), Adivi Sesh (original story)",2018,tt6843812,5,"7,467",,,,,,,,
0,,,Padmaavat,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari",N/A,N/A,India,N/A,Sanjay Leela Bhansali,"Drama, History, Romance, War","Hindi, Tamil, Rajasthani",63,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",https://m.media-amazon.com/images/M/MV5BOWZjMjkwM2QtZTJiMy00MmI5LWI2YjEtMmY5NjNiYTE2NTBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Viacom18 Motion Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",25-Jan-18,TRUE,164 min,movie,N/A,"Prakash Kapadia (screenplay), Sanjay Leela Bhansali (screenplay), Prakash Kapadia (dialogue)",2018,tt5935704,7,"24,389",,,,,,,,
0,,,The Children Act,"Emma Thompson, Stanley Tucci, Fionn Whitehead, Jason Watkins",N/A,N/A,"UK, USA",13-Nov-18,Richard Eyre,Drama,English,62,"As her marriage crumbles, a judge must decide a case involving a teenage boy who is refusing a blood transfusion on religious principle.",https://m.media-amazon.com/images/M/MV5BODUwOTk1MzI3NF5BMl5BanBnXkFtZTgwNTI4NDE3NTM@._V1_SX300.jpg,A24 and DIRECTV,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",14-Sep-18,TRUE,105 min,movie,N/A,"Ian McEwan (screenplay by), Ian McEwan (based on the novel by)",2017,tt6040662,6.7,"8,562",,,,,,,,
0,,,Pitch Perfect 2,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow",9 wins & 16 nominations.,"$165,744,048 ",USA,22-Sep-15,Elizabeth Banks,"Comedy, Music","English, German",63,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",https://m.media-amazon.com/images/M/MV5BMzk4OTM2NzMzNl5BMl5BanBnXkFtZTgwNTAzNDE0NDE@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",15-May-15,TRUE,115 min,movie,N/A,"Kay Cannon, Mickey Rapkin (based on the book by)",2015,tt2848292,6.4,"133,543",,,,,,,,
0,,,The Wife,"Glenn Close, Jonathan Pryce, Max Irons, Christian Slater",N/A,N/A,"UK, Sweden, USA",N/A,Björn Runge,Drama,"English, Swedish",77,A wife questions her life choices as she travels to Stockholm to see her husband receive the Nobel Prize for Literature.,https://m.media-amazon.com/images/M/MV5BNzA2Yzk4YjItZmU5OS00ZjFjLTlkNTEtMzJjZDVlOGY0OWRlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Metacritic', 'Value': '77/100'}]",28-Sep-18,TRUE,99 min,movie,N/A,"Jane Anderson (screenplay by), Meg Wolitzer (based on the novel ""The Wife"" by)",2017,tt3750872,7.2,"28,751",,,,,,,,
0,,,The Star,"Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez",Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,"$40,448,404 ",USA,20-Feb-18,Timothy Reckart,"Animation, Adventure, Comedy, Family, Fantasy",English,42,A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.,https://m.media-amazon.com/images/M/MV5BMTU4MDQ4NTM2N15BMl5BanBnXkFtZTgwNDM1NTIzMzI@._V1_SX300.jpg,Sony Pictures Animation,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",17-Nov-17,TRUE,86 min,movie,N/A,"Carlos Kotkin (screenplay by), Simon Moore (story by), Carlos Kotkin (story by)",2017,tt4587656,6.1,"5,366",,,,,,,,
0,,,Project Almanac,"Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista",N/A,N/A,USA,9-Jun-15,Dean Israelite,"Drama, Mystery, Sci-Fi, Thriller",English,47,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",https://m.media-amazon.com/images/M/MV5BMTUxMjQ2NjI4OV5BMl5BanBnXkFtZTgwODc2NjUwNDE@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",30-Jan-15,TRUE,106 min,movie,N/A,"Jason Pagan, Andrew Deutschman",2015,tt2436386,6.4,"72,547",,,,,,,,
0,,,Macbeth,"Jack Madigan, Frank Madigan, Michael Fassbender, Marion Cotillard",3 wins & 20 nominations.,"$1,795,802 ","UK, France, USA",8-Mar-16,Justin Kurzel,"Drama, History, War",English,71,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",https://m.media-amazon.com/images/M/MV5BNzgyNDczMjU4NV5BMl5BanBnXkFtZTgwMTUwMDI3NjE@._V1_SX300.jpg,The Weinstein Company,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",11-Dec-15,TRUE,113 min,movie,N/A,"Todd Louiso (screenplay), Jacob Koskoff (screenplay), Michael Lesslie (screenplay), William Shakespeare (play)",2015,tt2884018,6.6,"49,810",,,,,,,,
0,,,Allegiant,"Shailene Woodley, Theo James, Naomi Watts, Octavia Spencer",3 wins & 11 nominations.,N/A,USA,12-Jul-16,Robert Schwentke,"Action, Adventure, Mystery, Sci-Fi, Thriller",English,33,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",https://m.media-amazon.com/images/M/MV5BNjk2OTc5YzQtMjAwMS00YWY4LTk1ZWItOTgyMmRkMGU4ZmY1XkEyXkFqcGdeQXVyMzQ1MzUwMTE@._V1_SX300.jpg,Lionsgate,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",18-Mar-16,TRUE,120 min,movie,N/A,"Noah Oppenheim (screenplay), Adam Cooper (screenplay), Bill Collage (screenplay), Veronica Roth (novel)",2016,tt3410834,5.7,"98,031",,,,,,,,
0,,,The Take,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly",N/A,"$41,546 ","UK, France, USA, Luxembourg, Germany",N/A,James Watkins,"Action, Crime, Drama, Thriller","English, French",48,A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France.,https://m.media-amazon.com/images/M/MV5BMTAyNDc3MDMwMDNeQTJeQWpwZ15BbWU4MDkyMzc5MjAy._V1_SX300.jpg,High Top Releasing,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",18-Nov-16,TRUE,92 min,movie,N/A,"Andrew Baldwin, James Watkins",2016,tt2368619,6.3,"32,186",,,,,,,,
0,,,Kingsman: The Secret Service,"Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies",8 wins & 26 nominations.,"$119,469,511 ","UK, USA",9-Jun-15,Matthew Vaughn,"Action, Adventure, Comedy, Thriller","English, Arabic, Swedish",60,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",https://m.media-amazon.com/images/M/MV5BMTkxMjgwMDM4Ml5BMl5BanBnXkFtZTgwMTk3NTIwNDE@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",13-Feb-15,TRUE,129 min,movie,N/A,"Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)",2014,tt2802144,7.7,"555,994",,,,,,,,
0,,,The Handmaiden,"Min-hee Kim, Tae-ri Kim, Jung-woo Ha, Jin-woong Cho",Won 1 BAFTA Film Award. Another 59 wins & 88 nominations.,"$2,004,919 ",South Korea,24-Jan-17,Chan-wook Park,"Drama, Romance, Thriller","Korean, Japanese",84,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,CJ Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",1-Jun-16,TRUE,145 min,movie,N/A,"Sarah Waters (inspired by the novel ""Fingersmith"" by), Seo-kyeong Jeong (screenplay), Chan-wook Park (screenplay)",2016,tt4016934,8.1,"85,722",,,,,,,,
0,,,Johnny English Strikes Again,"Kevin Eldon, Emma Thompson, Adam James, Rowan Atkinson",N/A,N/A,"UK, France, USA, China",22-Jan-19,David Kerr,"Action, Adventure, Comedy","English, Russian, French, German",39,"After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English is forced to come out of retirement to find the mastermind hacker.",https://m.media-amazon.com/images/M/MV5BMjI4MjQ3MjI5MV5BMl5BanBnXkFtZTgwNjczMDE4NTM@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",26-Oct-18,TRUE,89 min,movie,N/A,William Davies (screenplay by),2018,tt6921996,6.2,"52,544",,,,,,,,
0,,,San Andreas,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd",2 wins & 10 nominations.,"$127,666,001 ",USA,20-Oct-15,Brad Peyton,"Action, Adventure, Drama, Thriller",English,43,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",https://m.media-amazon.com/images/M/MV5BNzZhYmQ2NGMtZmRmYi00NzgzLTllNmUtNDQwZDAxMmE3NzI0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",29-May-15,TRUE,114 min,movie,N/A,"Carlton Cuse (screenplay), Andre Fabrizio (story), Jeremy Passmore (story)",2015,tt2126355,6,"197,432",,,,,,,,
0,,,Pete's Dragon,"Bryce Dallas Howard, Robert Redford, Oakes Fegley, Oona Laurence",2 wins & 5 nominations.,"$76,228,119 ",USA,29-Nov-16,David Lowery,"Action, Adventure, Comedy, Drama, Family, Fantasy",English,71,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",https://m.media-amazon.com/images/M/MV5BMjA4NDYxNzYzOF5BMl5BanBnXkFtZTgwNzU1NzcwODE@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",12-Aug-16,TRUE,102 min,movie,N/A,"David Lowery (screenplay by), Toby Halbrooks (screenplay by), Malcolm Marmorstein (based on a screenplay by), Seton I. Miller (based on a story by), S.S. Field (based on a story by)",2016,tt2788732,6.7,"50,452",,,,,,,,
0,,,Duckweed,"Chao Deng, Eddie Peng, Zanilia Zhao, Zijian Dong",N/A,"$469,706 ",China,N/A,Han Han,"Comedy, Drama, Fantasy",Mandarin,N/A,"In the near-death after an accident, a sports car driver time-travelled back to the 1990s to meet his severe father and never-seen mother in a small Chinese town.",https://m.media-amazon.com/images/M/MV5BMzAxOGE2MjktYWVkNC00NDFjLTkxZWQtMTMwMjcyY2Y1MjA5L2ltYWdlXkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_SX300.jpg,China Lion Film Distribution,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",10-Feb-17,TRUE,102 min,movie,N/A,Han Han,2017,tt6461514,6.5,"1,063",,,,,,,,
0,,,Spider-Man: Into the Spider-Verse,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",N/A,N/A,USA,26-Feb-19,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Animation, Action, Adventure, Family, Sci-Fi","English, Spanish",87,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_SX300.jpg,Sony Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",14-Dec-18,TRUE,117 min,movie,N/A,"Phil Lord (screenplay by), Rodney Rothman (screenplay by), Phil Lord (story by)",2018,tt4633694,8.4,"275,390",,,,,,,,
0,,,Once Upon a Time,"Lana Parrilla, Robert Carlyle, Jared Gilmore, Jennifer Morrison",Nominated for 6 Primetime Emmys. Another 10 wins & 68 nominations.,,USA,,N/A,"Adventure, Fantasy, Romance",English,N/A,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,https://m.media-amazon.com/images/M/MV5BNjBmZmI0ZDktODI2MS00MDU1LTk0NDYtNGE0MDc0OWVkYzcwXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_SX300.jpg,,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",23-Oct-11,TRUE,60 min,series,,"Adam Horowitz, Edward Kitsis",2011–2018,tt1843230,7.8,"200,381",,,7,,,,,
